1,2011-1-13,4,29,2006-3-31,广州,广东,CN,3
2,2011-1-14,4,32,2006-3-31,汕头,广东,CN,24
3,2011-1-14,4,37,2006-4-7,汕头,广东,CN,9
4,2011-1-13,4,37,2006-8-10,广州,广东,CN,12
5,2011-1-13,4,42,2008-2-7,湛江,广东,CN,3
6,2011-1-14,4,45,2010-9-16,郑州,河南,CN,3
7,2011-1-14,4,45,2011-4-28,江门,广东,CN,2
8,2011-1-14,4,30,2012-3-9,昆明,云南,CN,8
9,2011-1-14,4,38,2012-8-31,北京,NULL,CN,6
10,2011-1-24,5,45,2005-9-29,广州,广东,CN,54
11,2011-1-24,4,34,2009-1-23,郑州,河南,CN,24
12,2011-1-24,4,29,2009-1-30,上海,NULL,CN,13
13,2011-2-1,4,36,2009-1-30,广州,广东,CN,10
14,2011-2-1,4,57,2009-2-13,北京,NULL,CN,13
15,2011-2-1,4,31,2009-4-25,广州,广东,CN,3
16,2011-2-4,4,44,2009-6-12,东莞,广东,CN,19
17,2011-2-4,4,31,2010-3-25,沈阳,辽宁,CN,13
18,2011-2-1,5,49,2010-4-15,郑州,河南,CN,3
19,2011-5-9,4,40,2010-5-20,郑州,河南,CN,2
20,2007-7-12,4,48,2010-7-8,广州,广东,CN,30
21,2011-5-20,4,38,2011-3-10,武汉,湖北,CN,4
22,2011-5-24,4,37,2008-2-27,汕头,广东,CN,7
23,2011-11-10,4,33,2011-11-10,广州,广东,CN,6
24,2012-1-26,4,47,2012-1-26,柳州,广西,CN,2
25,2006-1-28,4,44,2006-1-28,上海,NULL,CN,2
26,2009-9-30,4,31,2009-9-30,广州,广东,CN,4
27,2009-10-29,4,41,2009-10-29,大连,辽宁,CN,2
28,2009-11-4,4,43,2009-11-4,杭州,浙江,CN,24
29,2009-11-11,4,35,2009-11-11,珠海,广东,CN,3
30,2009-11-11,4,48,2009-11-11,郑州,河南,CN,3
31,2009-11-11,4,32,2009-11-11,广州,广东,CN,5
32,2009-11-18,4,30,2009-11-18,广州,广东,CN,7
