54993,2006/11/2,2014/3/31,1,210,580717,0.961639043
28065,2007/2/19,2014/3/31,7,140,293678,1.25231444
55106,2007/2/1,2014/3/31,11,135,283712,1.254675516
21189,2008/8/22,2014/3/31,97,23,281336,1.090869565
39546,2009/4/10,2014/3/31,5,152,309928,0.970657895
56972,2008/2/10,2014/3/31,79,92,294585,0.967692483
44924,2006/3/22,2014/3/31,1,101,287042,0.965346535
22631,2010/4/9,2014/3/31,3,73,287230,0.962070222
32197,2011/6/7,2014/3/31,6,56,321489,0.828478237
31645,2010/7/5,2014/3/31,15,64,375074,0.708010153
58877,2010/11/18,2014/3/31,22,43,262013,0.988658044
37994,2004/11/13,2014/3/31,6,145,271438,0.95253487
28012,2006/11/23,2014/3/31,67,29,321529,0.799126984
54943,2006/10/25,2014/3/31,3,118,179514,1.398381742
57881,2010/2/1,2014/3/31,2,50,270067,0.921984841
1254,2008/3/28,2014/3/31,65,22,234721,1.026084586
8253,2010/7/15,2014/3/31,7,101,172231,1.3865249
58899,2010/11/10,2014/3/31,45,40,284160,0.837844243
26955,2006/4/6,2014/3/31,2,64,169358,1.401596264
41616,2011/8/29,2014/3/31,24,38,332896,0.70828541
21501,2008/7/30,2014/3/31,4,106,167113,1.369404116
41281,2011/6/7,2014/3/31,6,23,214590,1.061630924
47229,2005/4/10,2014/3/31,23,94,305250,0.741803833
28474,2010/4/13,2014/3/31,74,20,222380,1.004904443
58472,2010/2/14,2014/3/31,17,44,281837,0.787308444
13942,2010/10/14,2014/3/31,17,62,243674,0.902990019
45075,2007/2/1,2014/3/31,3,213,187917,1.146354614
47114,2005/1/15,2014/3/31,11,74,148685,1.433364428
54619,2006/1/7,2014/3/31,18,101,159129,1.33816985
12349,2008/6/16,2014/3/31,11,87,149254,1.424714581
35883,2006/4/11,2014/3/31,2,53,144076,1.469224298
56091,2004/11/25,2014/3/31,8,95,149053,1.414895104
2137,2005/4/11,2014/3/31,16,131,220948,0.944884271
27708,2006/3/20,2014/3/31,3,95,148227,1.398640194
28014,2006/12/1,2014/3/31,3,47,285144,0.725685618
3539,2009/10/13,2014/3/31,108,25,220389,0.937899941
56149,2005/2/13,2014/3/31,34,24,189813,1.087220053
44936,2006/3/30,2014/3/31,125,54,141012,1.462104927
62751,2007/5/8,2014/3/31,1,166,229303,0.890172305
40066,2009/2/27,2014/3/31,34,81,140819,1.429179443
18793,2006/4/25,2014/3/31,2,98,137876,1.458541443
13963,2011/1/18,2014/3/31,3,35,201141,0.998554546
46084,2007/1/4,2014/3/31,3,95,140803,1.396985007
58798,2010/5/4,2014/3/31,13,46,256766,0.764737193
56089,2004/12/4,2014/3/31,38,54,160825,1.20853437
58693,2010/12/11,2014/3/31,22,21,185493,1.029507529
28780,2012/7/13,2014/3/31,1,110,187588,1.015978367
27836,2006/7/16,2014/3/31,7,134,140356,1.356053179
38073,2005/1/26,2014/3/31,2,107,135811,1.398992423
22629,2010/7/15,2014/3/31,304,70,219282,0.863479447
12326,2008/5/21,2014/3/31,1,189,235687,0.802633323
24222,2012/1/8,2014/3/31,4,87,132283,1.425177007
916,2006/11/18,2014/3/31,11,29,211369,0.888869986
45008,2007/12/10,2014/3/31,1,48,130135,1.408197795
11523,2007/7/6,2014/3/31,1,68,135374,1.349375212
56088,2004/12/3,2014/3/31,4,111,216560,0.828452854
56573,2007/11/26,2014/3/31,22,69,131660,1.354943567
38883,2008/2/2,2014/3/31,4,126,204371,0.867522349
38035,2004/12/28,2014/3/31,15,55,153868,1.146000598
11034,2005/1/26,2014/3/31,21,76,214921,0.819187329
47143,2005/2/17,2014/3/31,15,68,127335,1.380410335
29033,2004/11/19,2014/3/31,1,77,136121,1.288018381
16812,2010/6/9,2014/3/31,6,84,186821,0.938031056
5241,2011/5/14,2014/3/31,14,96,204612,0.848239546
49208,2010/5/28,2014/3/31,8,30,164001,1.057257212
38241,2005/8/13,2014/3/31,19,85,121097,1.426106262
38456,2007/11/15,2014/3/31,88,32,182563,0.944650121
44377,2010/7/10,2014/3/31,19,34,170121,1.013669976
49737,2010/10/30,2014/3/31,1,197,275800,0.620507614
47919,2008/12/14,2014/3/31,7,30,184194,0.928504294
23528,2012/8/15,2014/3/31,62,18,209911,0.811871079
58088,2009/10/19,2014/3/31,19,64,137636,1.236256939
51079,2011/12/21,2014/3/31,4,149,219108,0.774487057
19420,2007/11/18,2014/3/31,13,61,143186,1.183962818
58753,2010/10/13,2014/3/31,36,36,209839,0.806177069
13517,2010/8/14,2014/3/31,22,22,170406,0.992454374
56048,2013/3/15,2014/3/31,29,23,169224,0.995539285
50434,2011/6/9,2014/3/31,18,16,163191,1.019520072
13869,2010/10/26,2014/3/31,8,102,140220,1.179368992
47432,2005/10/21,2014/3/31,6,81,159255,1.034587737
60658,2012/6/29,2014/3/31,6,30,208687,0.782406571
9744,2006/7/13,2014/3/31,12,127,170611,0.956332827
18111,2008/9/19,2014/3/31,2,56,116728,1.394863786
42444,2012/4/25,2014/3/31,1,79,208797,0.777341772
11055,2005/2/17,2014/3/31,9,97,155881,1.036667137
47107,2004/11/18,2014/3/31,2,158,205159,0.784701427
62880,2006/5/8,2014/3/31,7,64,115300,1.391299306
49441,2010/7/3,2014/3/31,13,51,137500,1.165835855
20569,2007/6/28,2014/3/31,144,29,157056,1.017859044
47687,2007/10/5,2014/3/31,1,69,114077,1.387490292
37305,2008/6/13,2014/3/31,15,88,122619,1.281481989
58189,2011/1/31,2014/3/31,15,42,162453,0.966069448
25857,2007/1/26,2014/3/31,10,129,109813,1.429138536
951,2006/11/28,2014/3/31,14,67,123464,1.265322199
4178,2010/4/13,2014/3/31,53,12,146784,1.059166667
2010,2004/11/26,2014/3/31,4,100,162250,0.952273652
38290,2005/9/23,2014/3/31,11,69,118726,1.297050351
57622,2011/4/14,2014/3/31,34,17,125349,1.226505277
2001,2004/11/11,2014/3/31,9,12,146784,1.046666667
60311,2012/4/27,2014/3/31,4,54,144562,1.053910364
36030,2008/7/28,2014/3/31,21,79,123985,1.228445376
35766,2008/9/8,2014/3/31,5,87,105119,1.445489778
33319,2012/4/28,2014/3/31,17,53,144682,1.046215562
55096,2007/1/3,2014/3/31,17,92,134823,1.118316089
30681,2010/5/26,2014/3/31,11,48,150537,1.001144569
17837,2005/10/22,2014/3/31,3,90,108184,1.390945611
3872,2009/1/18,2014/3/31,9,56,104663,1.435274261
56201,2005/4/5,2014/3/31,4,146,191328,0.783239829
4468,2011/9/14,2014/3/31,15,35,167150,0.894261083
32602,2011/10/9,2014/3/31,63,33,174046,0.85318887
11277,2005/8/26,2014/3/31,7,142,177357,0.835532119
45117,2010/11/17,2014/3/31,44,31,204438,0.723434195
19051,2006/11/28,2014/3/31,29,53,102999,1.434114409
19371,2007/5/31,2014/3/31,14,21,159605,0.925114251
60020,2012/6/7,2014/3/31,27,16,195712,0.75375
2007,2004/11/25,2014/3/31,3,85,155704,0.946174922
56093,2004/11/24,2014/3/31,22,71,119961,1.225504039
