1,"2006-03-31","2014-03-31",198,3,18770,0.658302611,"一般价值客户"
2,"2006-03-31","2014-03-31",114,24,35087,0.615947217,"一般价值客户"
3,"2006-04-07","2014-03-31",84,9,20660,0.522270571,"一般价值客户"
4,"2006-08-10","2014-03-31",30,12,23071,0.511083611,"一般价值客户"
5,"2008-02-07","2014-03-31",95,3,2897,0.954166379,"低价值客户"
6,"2010-09-16","2014-03-31",47,3,4608,0.646666667,"低价值客户"
7,"2011-04-28","2014-03-31",535,2,3390,0.475,"低价值客户"
8,"2012-03-09","2014-03-31",124,8,11797,1.350073748,"低价值客户"
9,"2012-08-31","2014-03-31",177,6,6355,0.750306845,"低价值客户"
10,"2005-09-29","2014-03-31",12,54,62170,0.78806627,"重要发展客户"
11,"2009-01-23","2014-03-31",70,24,15894,0.600083679,"一般价值客户"
12,"2009-01-30","2014-03-31",2,13,19517,0.717276733,"一般价值客户"
13,"2009-01-30","2014-03-31",139,10,12686,0.55491329,"低价值客户"
14,"2009-02-13","2014-03-31",448,13,10992,1.328538937,"低价值客户"
15,"2009-04-25","2014-03-31",308,3,4137,0.666666667,"低价值客户"
16,"2009-06-12","2014-03-31",10,19,37415,0.626458907,"一般价值客户"
17,"2010-03-25","2014-03-31",49,13,24156,0.787628333,"一般价值客户"
18,"2010-04-15","2014-03-31",667,3,1559,0.874278384,"低价值客户"
19,"2010-05-20","2014-03-31",695,2,1870,0.6,"低价值客户"
20,"2010-07-08","2014-03-31",78,30,46621,0.929410352,"重要发展客户"
21,"2011-03-10","2014-03-31",137,4,7999,0.579833729,"低价值客户"
22,"2008-02-27","2014-03-31",385,7,13298,0.478391487,"低价值客户"
23,"2011-11-10","2014-03-31",80,6,12194,0.700336231,"低价值客户"
24,"2012-01-26","2014-03-31",487,2,1970,0.732385787,"低价值客户"
25,"2006-01-28","2014-03-31",138,2,2913,0.693618263,"低价值客户"
26,"2009-09-30","2014-03-31",632,4,6684,0.536856673,"低价值客户"
27,"2009-10-29","2014-03-31",197,2,1630,0.906797546,"低价值客户"
28,"2009-11-04","2014-03-31",39,24,33064,0.548859485,"一般价值客户"
29,"2009-11-11","2014-03-31",160,3,5850,0.418540171,"低价值客户"
30,"2009-11-11","2014-03-31",3,3,3969,0.294764424,"低价值客户"
