100868,"已办理额外行李托运","航空意外险/航班延误险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
111114,"已办理额外行李托运","航空意外险/航空责任保险","已订购旅行餐饮","未选择任何其他客户服务"
119919,"未办理额外行李托运","航空意外险","已订购旅行餐饮","未选择任何其他客户服务"
172619,"未办理额外行李托运","航空责任保险","已订购旅行餐饮","未选择任何其他客户服务"
179195,"未办理额外行李托运","未选择任何保险业务","已订购旅行餐饮","未选择任何其他客户服务"
193729,"已办理额外行李托运","航空意外险","未订购旅行餐饮","未选择任何其他客户服务"
200965,"已办理额外行李托运","未选择任何保险业务","已订购旅行餐饮","未选择任何其他客户服务"
220738,"已办理额外行李托运","航空责任保险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
226525,"已办理额外行李托运","航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
226627,"未办理额外行李托运","航空意外险","已订购旅行餐饮","未选择任何其他客户服务"
226667,"未办理额外行李托运","航空意外险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
231435,"已办理额外行李托运","航空责任保险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
232138,"未办理额外行李托运","未选择任何保险业务","未订购旅行餐饮","未选择任何其他客户服务"
256763,"未办理额外行李托运","航空意外险","未订购旅行餐饮","未选择任何其他客户服务"
256941,"已办理额外行李托运","航空责任保险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
264863,"未办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
269652,"已办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
275706,"已办理额外行李托运","航空意外险/航班延误险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
275774,"未办理额外行李托运","航空意外险/航班延误险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
287338,"未办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
296369,"已办理额外行李托运","航空意外险","未订购旅行餐饮","未选择任何其他客户服务"
310817,"未办理额外行李托运","航空意外险/航空责任保险","已订购旅行餐饮","未选择任何其他客户服务"
335371,"未办理额外行李托运","航空责任保险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
359445,"未办理额外行李托运","航空意外险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
361263,"未办理额外行李托运","航空意外险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
368345,"已办理额外行李托运","航空意外险","已订购旅行餐饮","未选择任何其他客户服务"
379859,"已办理额外行李托运","未选择任何保险业务","已订购旅行餐饮","未选择任何其他客户服务"
399133,"已办理额外行李托运","航空意外险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
404246,"已办理额外行李托运","航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
408630,"未办理额外行李托运","未选择任何保险业务","未订购旅行餐饮","未选择任何其他客户服务"
434175,"未办理额外行李托运","航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
434901,"未办理额外行李托运","航空意外险","未订购旅行餐饮","未选择任何其他客户服务"
438748,"已办理额外行李托运","航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
441407,"已办理额外行李托运","航空意外险/航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
441575,"已办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
448174,"未办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
448856,"未办理额外行李托运","航空意外险/航空责任保险","已订购旅行餐饮","未选择任何其他客户服务"
449632,"未办理额外行李托运","航空责任保险","未订购旅行餐饮","未选择任何其他客户服务"
455470,"未办理额外行李托运","航空意外险/航班延误险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
468395,"未办理额外行李托运","航空意外险/航班延误险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
474759,"已办理额外行李托运","航空意外险/航空责任保险","已订购旅行餐饮","未选择任何其他客户服务"
481620,"已办理额外行李托运","航空意外险/航班延误险","未订购旅行餐饮","未选择任何其他客户服务"
487883,"已办理额外行李托运","航班延误险","已订购旅行餐饮","未选择任何其他客户服务"
