1,女,27,2006-3-31,1,广州,广东,中国,3
2,男,27,2006-3-31,2,汕头,广东,中国,24
3,女,27,2006-4-7,1,汕头,广东,中国,9
4,女,27,2006-8-10,1,广州,广东,中国,12
5,男,27,2008-2-7,1,湛江,广东,中国,3
6,女,27,2010-9-16,1,郑州,河南,中国,3
7,女,27,2011-4-28,1,江门,广东,中国,2
8,男,27,2012-3-9,1,昆明,云南,中国,8
9,男,27,2012-8-31,1,北京,NULL,中国,6
10,女,27,2005-9-29,4,广州,广东,中国,54
11,男,27,2009-1-23,2,郑州,河南,中国,24
12,女,27,2009-1-30,1,上海,NULL,中国,13
13,男,27,2009-1-30,1,广州,广东,中国,10
14,女,27,2009-2-13,1,北京,NULL,中国,13
15,女,27,2009-4-25,1,广州,广东,中国,3
16,男,27,2009-6-12,2,东莞,广东,中国,19
17,女,27,2010-3-25,1,沈阳,辽宁,中国,13
18,女,27,2010-4-15,1,郑州,河南,中国,3
19,男,27,2010-5-20,1,郑州,河南,中国,2
20,男,31,2010-7-8,3,广州,广东,中国,30
21,男,27,2011-3-10,1,武汉,湖北,中国,4
22,女,27,2008-2-27,1,汕头,广东,中国,7
23,女,27,2011-11-10,1,广州,广东,中国,6
24,女,26,2012-1-26,1,柳州,广西,中国,2
25,男,32,2006-1-28,1,上海,NULL,中国,2
26,女,29,2009-9-30,1,广州,广东,中国,4
27,女,29,2009-10-29,1,大连,辽宁,中国,2
28,女,29,2009-11-4,2,杭州,浙江,中国,24
29,女,29,2009-11-11,1,珠海,广东,中国,3
30,男,29,2009-11-11,1,郑州,河南,中国,3
31,男,29,2009-11-11,1,广州,广东,中国,5
32,男,29,2009-11-18,1,广州,广东,中国,7
33,女,29,2009-11-24,1,郑州,河南,中国,4
34,女,29,2009-11-24,1,广州,广东,中国,3
35,男,29,2009-12-1,4,广州,广东,中国,46
36,男,29,2009-12-1,1,郑州,河南,中国,6
37,男,29,2009-12-8,1,广州,广东,中国,9
38,女,29,2009-12-8,2,广州,广东,中国,22
39,男,29,2009-12-23,1,汕头,广东,中国,8
40,女,27,2009-12-23,1,大连,辽宁,中国,2
41,女,29,2009-12-29,2,大连,辽宁,中国,20
42,男,29,2009-12-29,1,广州市,广东,中国,2
43,女,29,2009-12-29,1,武汉,湖北,中国,2
44,女,32,2006-11-17,6,沈阳,辽宁,中国,83
45,男,28,2010-1-5,1,大连,辽宁,中国,3
46,女,28,2010-1-12,2,广州,广东,中国,21
47,男,28,2010-1-12,1,北京,NULL,中国,2
48,男,28,2010-1-12,1,东莞,广东,中国,2
49,女,28,2010-1-19,1,沈阳,辽宁,中国,9
