1,18770,0,4611,3168
2,35087,2,45888,27936
3,20660,0,20367,11133
4,23071,1,25896,16392
5,2897,0,4629,4311
6,4608,0,5316,4260
7,3390,0,4812,2702
8,11797,0,15808,11888
9,6355,0,13218,8118
10,62170,5,104544,66636
11,15894,2,36768,25512
12,19517,1,23296,14196
13,12686,1,16780,14210
14,10992,1,26689,16926
15,4137,0,4638,3729
16,37415,1,32148,19456
17,24156,1,30914,15730
18,1559,0,4905,3348
19,1870,0,4118,2934
20,46621,3,69930,36390
21,7999,0,8132,4540
22,13298,0,16436,8274
23,12194,0,13428,7110
24,1970,0,4934,2900
25,2913,0,4322,2848
26,6684,0,7100,4636
27,1630,0,3088,2676
28,33064,2,49080,35088
29,5850,0,4983,3741
30,3969,0,7251,4236
31,6985,0,8685,5930
32,7784,0,15743,7203
33,5500,0,7008,4604
34,5267,0,4557,4347
35,66927,4,75532,65642
36,5836,0,13470,8898
37,15025,0,17352,10593
38,38531,2,53130,28402
39,24812,0,18504,8496
40,2085,0,3552,2416
41,22214,2,40580,24620
42,3308,0,3098,2664
43,1312,0,4372,2682
44,95665,8,181023,85075
45,4137,0,6303,3675
46,31812,2,36813,21651
47,3255,0,3398,2794
48,3120,0,3062,2662
49,11054,0,17901,12879
50,27925,1,30660,20860
51,8043,0,11109,8701
52,2472,0,5283,3297
53,2823,0,3948,2322
54,134621,8,149234,102090
55,18098,1,21056,15162
56,5908,0,14532,7308
57,22100,1,37126,20463
58,7564,0,17150,9478
59,21108,1,23364,13596
60,3147,0,4743,3201
61,37929,2,66642,32219
62,80124,4,106830,57645
63,4569,0,6123,3804
64,1737,0,6021,3978
65,8345,0,12612,8064
66,5748,0,8250,6235
67,10763,0,11850,8166
68,6483,0,10055,6080
69,5586,0,3696,2424
70,25431,2,59940,37638
71,79768,8,205716,91140
72,3262,0,6219,3939
73,3934,0,3450,2116
74,8141,0,11765,6150
75,3823,0,9892,4832
76,20806,1,31876,13390
77,6461,0,12032,9456
78,104188,1,32956,19250
79,49003,2,50328,32319
80,13089,0,12696,8070
81,4215,0,4887,4473
82,30666,1,31084,26201
83,5942,0,3238,2076
84,27465,1,23790,20130
85,44761,3,65664,49248
86,3491,0,4995,3336
87,12582,0,18765,12825
88,1140,0,6069,4248
89,4646,0,6908,4340
90,13069,1,29562,13039
91,3114,0,8400,5992
92,1074,0,3498,2530
93,8122,0,5337,3054
94,9292,0,12593,8421
95,8323,0,14748,6414
96,7079,0,6492,4448
97,6767,0,15554,7350
98,1943,0,3404,2628
99,20214,1,23517,18265
100,113219,6,103680,82240
101,15653,1,26686,11550
102,3760,0,5901,4434
103,4394,0,5214,4326
104,3934,0,4890,2892
105,1737,0,3948,2284
106,5112,0,9685,7085
107,4861,0,9072,4012
108,4047,0,4176,2458
109,2254,0,4154,2780
110,12975,1,21791,13486
111,7717,1,20050,13820
112,12811,0,16232,11496
113,11802,0,12606,6012
114,6306,0,7524,4220
115,61691,7,140322,95862
116,2782,0,7143,3525
117,9890,0,10605,6340
118,3367,0,4016,2458
119,11086,0,11526,6360
120,3068,0,6990,3081
121,13518,0,15588,10395
122,1780,0,6711,3933
123,17485,1,27248,16718
124,3746,0,6387,3780
125,8078,0,12495,6045
126,7117,0,12426,7170
127,2730,0,4635,4482
128,4154,0,4582,2074
129,4880,0,4746,2972
130,15251,1,18984,15480
131,3934,0,3210,2418
132,1647,0,3014,2122
133,5588,0,9380,4572
134,2780,0,3752,2902
135,19120,1,23859,15158
136,1577,0,4308,2134
137,3450,0,9905,5710
138,2805,0,4592,2904
139,1746,0,3950,2748
140,1877,0,6399,3285
141,20952,0,15471,9504
142,56650,2,59448,26232
143,4926,0,5322,3606
144,3521,0,4576,2376
145,81229,9,209088,117600
146,7493,0,9080,5550
147,4175,0,4004,2342
148,6289,0,9540,6730
149,16443,1,31174,13221
150,8610,0,8675,7220
151,4549,0,17416,9184
152,3557,0,4646,2088
153,3124,0,3610,2472
154,1604,0,4298,2320
155,1947,0,5550,3480
156,106399,2,41364,39852
157,10367,0,22005,9252
158,2977,0,3940,2458
159,5122,0,4686,4497
160,6282,0,20169,11160
161,6111,0,9660,4428
162,35090,1,25168,15873
163,2319,0,4076,2040
164,5667,0,9305,6030
165,2020,0,3080,2894
166,18192,1,20176,16861
167,12376,1,18710,13200
168,1529,0,4036,2828
169,26393,2,35160,21880
170,20264,1,36420,19005
171,1215,0,3390,2354
172,2070,0,5547,4404
173,16254,0,4388,2352
174,7977,0,9912,5472
175,7017,0,9110,7155
176,8130,0,8392,5572
177,20934,0,15408,12204
178,5180,0,5082,3168
179,8352,0,18496,10016
180,26293,1,32048,22384
181,16493,0,21348,11403
182,9993,1,17974,12969
183,40982,2,41550,27625
184,4744,0,7434,3702
185,11489,0,8785,5215
186,10292,0,12728,10776
187,5863,0,10790,6220
188,16289,0,22266,10269
189,14113,0,16416,10755
190,16906,1,36420,16020
191,5584,0,12150,6408
192,25401,2,51975,29043
193,35588,3,58064,42332
194,45358,3,61530,46655
195,3935,0,4680,3693
196,14878,1,29244,14280
197,1914,0,3784,2982
198,5248,0,6104,4956
199,3106,0,3446,2364
200,3527,0,6897,3378
