487883,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
724106,未办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
983669,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
408630,未办理额外行李托运,航班延误险,未订购旅行餐饮
569973,已办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
335371,未办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
996233,未办理额外行李托运,航空意外险/航班延误险/航班延误险,已订购旅行餐饮
890973,未办理额外行李托运,航空意外险/航班延误险,未订购旅行餐饮
811254,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
531977,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
543445,未办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
574674,未办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
379859,已办理额外行李托运,航空责任保险,已订购旅行餐饮
231435,已办理额外行李托运,航空责任保险,未订购旅行餐饮
455470,未办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
256941,未办理额外行李托运,航空责任保险/航班延误险,已订购旅行餐饮
481620,未办理额外行李托运,航空意外险/航空责任保险,未订购旅行餐饮
781028,已办理额外行李托运,航空责任保险,未订购旅行餐饮
256763,未办理额外行李托运,航班延误险,已订购旅行餐饮
555275,未办理额外行李托运,航空意外险/航空责任保险,已订购旅行餐饮
434901,已办理额外行李托运,未选择任何保险业务,已订购旅行餐饮
960572,已办理额外行李托运,航空意外险,未订购旅行餐饮
514967,未办理额外行李托运,航班延误险,已订购旅行餐饮
834942,已办理额外行李托运,航空意外险/航班延误险/航班延误险,未订购旅行餐饮
947275,未办理额外行李托运,航空责任保险/航班延误险,未订购旅行餐饮
226667,已办理额外行李托运,未选择任何保险业务,未订购旅行餐饮
726032,未办理额外行李托运,航空责任保险,已订购旅行餐饮
310817,已办理额外行李托运,航空意外险,已订购旅行餐饮
468395,已办理额外行李托运,航空责任保险,已订购旅行餐饮
